train_loss,epoch,step,valid_loss,valid_acc,train_acc,test_acc
1.0791224241256714,0,9,,,,
0.6692145466804504,0,19,,,,
0.5516202449798584,0,29,,,,
0.45082736015319824,0,39,,,,
0.47207024693489075,0,49,,,,
0.434283047914505,0,59,,,,
0.37773066759109497,0,69,,,,
0.491192102432251,0,79,,,,
0.3842675983905792,0,89,,,,
0.5618683695793152,0,99,,,,
0.3956902325153351,0,109,,,,
0.43414106965065,0,119,,,,
0.36108967661857605,0,129,,,,
0.35828158259391785,0,139,,,,
0.4548328220844269,0,149,,,,
0.3769625127315521,0,159,,,,
0.29291442036628723,0,169,,,,
0.3909153640270233,0,179,,,,
0.4100272059440613,0,189,,,,
0.3570420444011688,0,199,,,,
0.3569144606590271,0,209,,,,
,0,213,0.34428414702415466,0.8999999761581421,,
,0,213,,,0.8684104681015015,
0.32876986265182495,1,219,,,,
0.30730289220809937,1,229,,,,
0.2906019687652588,1,239,,,,
0.41582852602005005,1,249,,,,
0.28936612606048584,1,259,,,,
0.3423546850681305,1,269,,,,
0.3019578158855438,1,279,,,,
0.40788915753364563,1,289,,,,
0.2460998296737671,1,299,,,,
0.37672412395477295,1,309,,,,
0.4068497121334076,1,319,,,,
0.42500999569892883,1,329,,,,
0.27347424626350403,1,339,,,,
0.3699033558368683,1,349,,,,
0.2928306758403778,1,359,,,,
0.4194457530975342,1,369,,,,
0.38938474655151367,1,379,,,,
0.28596600890159607,1,389,,,,
0.3941003680229187,1,399,,,,
0.27773618698120117,1,409,,,,
0.42778924107551575,1,419,,,,
,1,427,0.32709482312202454,0.9035999774932861,,
,1,427,,,0.900901734828949,
0.28894656896591187,2,429,,,,
0.29493626952171326,2,439,,,,
0.295814573764801,2,449,,,,
0.4054316580295563,2,459,,,,
0.23143889009952545,2,469,,,,
0.28754955530166626,2,479,,,,
0.2626189887523651,2,489,,,,
0.27115315198898315,2,499,,,,
0.2840608060359955,2,509,,,,
0.18225660920143127,2,519,,,,
0.14468562602996826,2,529,,,,
0.22018544375896454,2,539,,,,
0.22731047868728638,2,549,,,,
0.296696275472641,2,559,,,,
0.33624133467674255,2,569,,,,
0.2594166398048401,2,579,,,,
0.2671879529953003,2,589,,,,
0.24366921186447144,2,599,,,,
0.2857420742511749,2,609,,,,
0.24189552664756775,2,619,,,,
0.23951907455921173,2,629,,,,
0.2314126044511795,2,639,,,,
,2,641,0.2604592740535736,0.9265999794006348,,
,2,641,,,0.9208893179893494,
0.17555372416973114,3,649,,,,
0.181686669588089,3,659,,,,
0.21632306277751923,3,669,,,,
0.310683935880661,3,679,,,,
0.268611341714859,3,689,,,,
0.2209431529045105,3,699,,,,
0.25725167989730835,3,709,,,,
0.19931921362876892,3,719,,,,
0.20698711276054382,3,729,,,,
0.21931692957878113,3,739,,,,
0.27945780754089355,3,749,,,,
0.15901395678520203,3,759,,,,
0.19802646338939667,3,769,,,,
0.29377391934394836,3,779,,,,
0.18720559775829315,3,789,,,,
0.26349759101867676,3,799,,,,
0.29772844910621643,3,809,,,,
0.2088153064250946,3,819,,,,
0.23991680145263672,3,829,,,,
0.1563080996274948,3,839,,,,
0.21958224475383759,3,849,,,,
,3,855,0.2499670833349228,0.9228000044822693,,
,3,855,,,0.9315858483314514,
0.184360072016716,4,859,,,,
0.2663191258907318,4,869,,,,
0.16589437425136566,4,879,,,,
0.2098298966884613,4,889,,,,
0.10327301174402237,4,899,,,,
0.24655184149742126,4,909,,,,
0.17407867312431335,4,919,,,,
0.191362664103508,4,929,,,,
0.1269255131483078,4,939,,,,
0.195896178483963,4,949,,,,
0.20153428614139557,4,959,,,,
0.15605062246322632,4,969,,,,
0.19584256410598755,4,979,,,,
0.22091618180274963,4,989,,,,
0.14986516535282135,4,999,,,,
0.1639603078365326,4,1009,,,,
0.1903858780860901,4,1019,,,,
0.20802542567253113,4,1029,,,,
0.19271357357501984,4,1039,,,,
0.14661142230033875,4,1049,,,,
0.18113313615322113,4,1059,,,,
0.18052008748054504,4,1069,,,,
,4,1069,0.21118801832199097,0.9399999976158142,,
,4,1069,,,0.9395261406898499,
0.1715497374534607,5,1079,,,,
0.22174830734729767,5,1089,,,,
0.19807948172092438,5,1099,,,,
0.22655801475048065,5,1109,,,,
0.2312987595796585,5,1119,,,,
0.26930999755859375,5,1129,,,,
0.16494376957416534,5,1139,,,,
0.1880267858505249,5,1149,,,,
0.17932988703250885,5,1159,,,,
0.15547361969947815,5,1169,,,,
0.1949809044599533,5,1179,,,,
0.2902064025402069,5,1189,,,,
0.20813146233558655,5,1199,,,,
0.17827555537223816,5,1209,,,,
0.15185371041297913,5,1219,,,,
